직무코드,직무대분류,직무중분류,직무소분류,상세분류,산업,캠프명
IT-N/A-IT,IT/SW,IT,IT,N/A,IT,IT 8개 직무 기초체험으로 나에게 맞는 적성 찾고 기술역량 키우기
IT-N/A-IT,IT/SW,IT,IT,N/A,IT,"시스템개발, 아키텍트, 기획을 모두 경험한 현직자가 알려주는 IT 실무"
IT-N/A-IT,IT/SW,IT,IT,N/A,IT,차근차근 기초 다지기 : 밑바닥부터 시작하는 서버&프론트 개발 실무 체험
IT-N/A-금융,IT/SW,IT,IT,N/A,금융,"금융 IT 개발 실무 경험하기 : API 개발, DB 조회, 배포 등"
IT-N/A-정부/공공기관,IT/SW,IT,IT,N/A,정부/공공기관,공기업 현직자에게 배우는 IT기획 실무
IT-시스템관리-IT,IT/SW,IT,IT,시스템관리,IT,금융 IT 공기업 현직자와 함께하는 Linux기반 IT 운영 실무 경험!
IT-취업컨설팅-IT,IT/SW,IT,IT,취업컨설팅,IT,"IT취업 컨설팅, 8개 직무 포트폴리오부터 모의 면접까지"
IT-클라우드-IT,IT/SW,IT,IT,클라우드,IT,대기업 IT현직자와 함께 클라우드 AWS 구축부터 운영까지 실무 AtoZ
IT-클라우드-IT,IT/SW,IT,IT,클라우드,IT,"글로벌 대기업 12년차 현업자와 AWS 백엔드개발, 클라우드직무 AtoZ"
SW개발-DevOps-IT,IT/SW,SW개발,SW개발,DevOps,IT,"대기업 엔지니어와 파이썬개발, DB구성, 라이브 배포까지 DevOps실무"
SW개발-N/A-IT,IT/SW,SW개발,SW개발,N/A,IT,SW개발자의 프로그램 개발 과정 체험! 소스 분석부터 버그 수정까지!
SW개발-N/A-IT,IT/SW,SW개발,SW개발,N/A,IT,IT 대기업 현업 개발자와 함께 하는 SW개발 실무
SW개발-N/A-IT,IT/SW,SW개발,SW개발,N/A,IT,"SW개발 실무, 설계부터 pkg업그레이드까지 모두 경험하기"
SW개발-N/A-IT,IT/SW,SW개발,SW개발,N/A,IT,블록체인 스타트업 현업 개발자와 함께 하는 SW개발 실무
SW개발-N/A-자동차,IT/SW,SW개발,SW개발,N/A,자동차,"자율주행 로봇부터 자동차까지, 대기업 SW개발 현직자와 실무 경험하기"
SW개발-N/A-자동차,IT/SW,SW개발,SW개발,N/A,자동차,임베디드 SW개발자와 함께 가상 MCU로 배우는 실무 체험
SW개발-N/A-전자/기계,IT/SW,SW개발,SW개발,N/A,전자/기계,학교엔 없는 실제 SW개발팀 업무 프로세스를 배우세요
SW개발-SW개발-자동차,IT/SW,SW개발,SW개발,SW개발,자동차,자동차 공학박사와 함께하는 전기차 자율주행차 SW개발 실무
SW개발-디자인패턴-IT,IT/SW,SW개발,SW개발,디자인패턴,IT,IT대기업 현직자가 알려주는 디자인 패턴으로 진짜 실무 개발 역량 키우기
SW개발-로봇개발-제조업,IT/SW,SW개발,SW개발,로봇개발,제조업,대기업 로봇 개발자와 함께하는 'SW개발' 실무 성과 만들기
SW개발-모던cpp-IT,IT/SW,SW개발,SW개발,모던cpp,IT,Modern CPP를 사용해서 현업에서 바로 사용할 수 있는 개발하기
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,IT 대기업 현업 개발자와 함께 하는 백엔드 개발 실무
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,기획부터 개발까지 파이썬 백엔드 개발 실무 체험
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,IT 대기업 개발자와 채팅 서비스 마이그레이션으로 백엔드 직무 체험하기
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,나만의 포트폴리오 작성으로 웹개발 백엔드 직무 체험하기
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,"파이썬으로 배우는 백엔드 개발 실무 : API 개발, 구현, 배포 등"
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,유니콘 스타트업 기술 면접관에게 배우는 찐 현업 백엔드 개발 실무
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,"백엔드 개발 프로세스 체험. 서비스 설계, 데이터 전달 구상, 코드 작성"
SW개발-백엔드-IT,IT/SW,SW개발,SW개발,백엔드,IT,백엔드 개발 프로젝트를 수행하며 실무 경험 쌓기
SW개발-서버-IT,IT/SW,SW개발,SW개발,서버,IT,대기업 서버개발 현직자가 알려주는 서버개발 실무
SW개발-알고리즘-IT,IT/SW,SW개발,SW개발,알고리즘,IT,실전에 활용할 수 있는 알고리즘 개발 역량 강화하기
SW개발-알고리즘-IT,IT/SW,SW개발,SW개발,알고리즘,IT,현업에서 쓰이는 알고리즘으로 효율적인 SW개발자로 거듭나기
SW개발-인공지능-IT,IT/SW,SW개발,SW개발,인공지능,IT,현직 AI 엔지니어와 실전 Computer Vision : Git부터 AI 모델링까지
SW개발-임베디드-자동차,IT/SW,SW개발,SW개발,임베디드,자동차,자동차 전장 SW개발 현직자와 함께하는 SW개발 실무
SW개발-프론트-IT,IT/SW,SW개발,SW개발,프론트,IT,프론트엔드 실무 프로세스 체험 : 프로젝트 세팅부터 회고까지
게임-N/A-IT,IT/SW,게임,게임,N/A,IT,게임QA(Quality Assurance) 실무 수행하기
네트워크-N/A-통신,IT/SW,네트워크,네트워크,N/A,통신,"통신사 현직자와 함께하는 인프라, 네트워크 실무"
데이터-API개발-IT,IT/SW,데이터,데이터,API개발,IT,"데이터 엔지니어가 실제로 하는 API 개발 전체 과정, 이슈 및 해결방안"
데이터-DB-IT,IT/SW,데이터,데이터,DB,IT,IT현직자가 알려주는 SQL로 배우는 데이터 실무 AtoZ
